State,Indicator No.,Indicator,Unit,NFHS 6,NFHS 6 Small Sample,NFHS 5,NFHS 5 Small Sample,Delta (6-5)
Andaman and Nicobar Islands,1,Population below age 5 years (%),%,3.7,,5.3,,-1.6
Andaman and Nicobar Islands,2,Population below age 15 years (%),%,17.5,,20.8,,-3.3
Andaman and Nicobar Islands,3,Population age 60 years and above (%),%,12.6,,11.0,,1.6
Andaman and Nicobar Islands,4,Population living in households with electricity (%),%,97.5,,97.6,,-0.1
Andaman and Nicobar Islands,5,Population living in households with an improved drinking-water source1 (%),%,97.9,,96.3,,1.6
Andaman and Nicobar Islands,6,Households using iodized salt (%),%,99.0,,99.7,,-0.7
Andaman and Nicobar Islands,7,Households with any usual member covered under a health insurance/financing scheme (%),%,9.1,,1.8,,7.3
Andaman and Nicobar Islands,8,Households with any usual member having a bank account/post office account (%),%,98.3,,97.3,,1.0
Andaman and Nicobar Islands,9,Female population age 6 years and above who ever attended school (%),%,85.0,,83.5,,1.5
Andaman and Nicobar Islands,10,Households with any usual female members owning a house and/or land (alone or jointly with,,13.1,,13.8,,-0.7
Andaman and Nicobar Islands,11,Children age 2-4 years who attended pre-school (%),%,62.2,,88.5,,-26.3
Andaman and Nicobar Islands,12,Women with 10 or more years of schooling (%),%,65.0,,52.5,,12.5
Andaman and Nicobar Islands,13,Men with 10 or more years of schooling (%),%,66.8,,52.3,,14.5
Andaman and Nicobar Islands,14,Women who have ever used the internet (%),%,72.0,,34.8,,37.2
Andaman and Nicobar Islands,15,Men who have ever used the internet (%),%,86.1,,45.6,,40.5
Andaman and Nicobar Islands,16,Women age 20-24 years married before age 18 years (%),%,8.8,,16.2,,-7.4
Andaman and Nicobar Islands,17,Men age 25-29 years married before age 21 years (%),%,1.2,Y,7.1,Y,-5.9
Andaman and Nicobar Islands,18,Total fertility rate (children per woman),children per woman,0.9,,1.3,,-0.4
Andaman and Nicobar Islands,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,1.6,,3.0,,-1.4
Andaman and Nicobar Islands,20,Any method2 (%),%,78.3,,65.8,,12.5
Andaman and Nicobar Islands,21,Any modern method2 (%),%,66.3,,57.7,,8.6
Andaman and Nicobar Islands,22,Any traditional method (%),%,12.0,,8.1,,3.9
Andaman and Nicobar Islands,23,Female sterilization (%),%,41.5,,39.2,,2.3
Andaman and Nicobar Islands,24,Male sterilization (%),%,0.0,,0.2,,-0.2
Andaman and Nicobar Islands,25,Total unmet need3 (%),%,4.6,,13.5,,-8.9
Andaman and Nicobar Islands,26,Unmet need for spacing3 (%),%,3.5,,6.1,,-2.6
Andaman and Nicobar Islands,27,Unmet need for limiting3 (%),%,1.1,,7.4,,-6.3
Andaman and Nicobar Islands,28,Mothers who had an antenatal check-up in the first trimester (%),%,82.1,,77.1,,5.0
Andaman and Nicobar Islands,29,Mothers who had any antenatal care visits (%),%,96.1,,91.9,,4.2
Andaman and Nicobar Islands,30,Mothers who had at least 4 antenatal care visits (%),%,45.4,,83.6,,-38.2
Andaman and Nicobar Islands,31,Mothers whose last birth was protected against neonatal tetanus4 (%),%,96.6,,90.8,,5.8
Andaman and Nicobar Islands,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,85.6,,80.9,,4.7
Andaman and Nicobar Islands,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,35.0,,52.1,,-17.1
Andaman and Nicobar Islands,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),MCP,99.5,,98.9,,0.6
Andaman and Nicobar Islands,35,Institutional births (%),%,99.5,,98.9,,0.6
Andaman and Nicobar Islands,36,Institutional births in public facility (%),%,86.5,,87.3,,-0.8
Andaman and Nicobar Islands,37,Births attended by skilled health personnel5 (%),%,99.6,,97.3,,2.3
Andaman and Nicobar Islands,38,Births delivered by caesarean section (%),%,35.0,,29.9,,5.1
Andaman and Nicobar Islands,39,Births in a private health facility that were delivered by caesarean section (%),%,,Y,79.2,Y,
Andaman and Nicobar Islands,40,Births in a public health facility that were delivered by caesarean section (%),%,28.5,,23.6,,4.9
Andaman and Nicobar Islands,41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health,,92.5,,88.9,,3.6
Andaman and Nicobar Islands,42,Children born at home who were taken to a health facility for a check-up within 24 hours of,,,Y,,Y,
Andaman and Nicobar Islands,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health,,98.7,,91.0,,7.7
Andaman and Nicobar Islands,44,Children age 12-23 months fully vaccinated based on information from either vaccination card,,88.5,,79.9,,8.6
Andaman and Nicobar Islands,45,Children age 12-23 months fully vaccinated based on information from vaccination card,,91.3,,96.0,,-4.7
Andaman and Nicobar Islands,46,Children age 12-23 months who have received any vaccine (%),%,97.2,,98.2,,-1.0
Andaman and Nicobar Islands,47,Children age 12-23 months who have received BCG (%),%,97.2,,98.2,,-1.0
Andaman and Nicobar Islands,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),%,92.2,,80.9,,11.3
Andaman and Nicobar Islands,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,92.3,,92.8,,-0.5
Andaman and Nicobar Islands,50,Children age 12-23 months who have received the first dose of measles-containing,,96.0,,84.0,,12.0
Andaman and Nicobar Islands,51,Children age 24-35 months who have received a second dose of measles-containing,,90.9,,77.4,,13.5
Andaman and Nicobar Islands,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,96.6,,59.5,,37.1
Andaman and Nicobar Islands,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,76.0,,0.3,,75.7
Andaman and Nicobar Islands,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,64.0,,86.0,,-22.0
Andaman and Nicobar Islands,55,Children age 12-23 months who received most of their vaccinations in a public health,,95.1,,94.9,,0.2
Andaman and Nicobar Islands,56,Children age 12-23 months who received most of their vaccinations in a private health,,4.9,,3.2,,1.7
Andaman and Nicobar Islands,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,1.5,,5.6,,-4.1
Andaman and Nicobar Islands,58,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),%,0.0,,0.4,,-0.4
Andaman and Nicobar Islands,59,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the,,0.2,,1.7,,-1.5
Andaman and Nicobar Islands,60,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health,,69.4,,72.7,,-3.3
Andaman and Nicobar Islands,61,Children under age 3 years breastfed within one hour of birth 9 (%),%,51.4,,46.9,,4.5
Andaman and Nicobar Islands,62,Children under age 6 months exclusively breastfed10 (%),%,85.6,Y,73.3,Y,12.3
Andaman and Nicobar Islands,63,Children under age 6 months currently breastfeeding 10 (%),%,93.5,Y,92.8,Y,0.7
Andaman and Nicobar Islands,64,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain,,92.6,Y,80.9,Y,11.7
Andaman and Nicobar Islands,65,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,,Y,,Y,
Andaman and Nicobar Islands,66,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,10.9,,17.4,,-6.5
Andaman and Nicobar Islands,67,"Non-breastfeeding children age 6-23 months receiving an adequate diet 10, 11 (%)",%,,Y,,Y,
Andaman and Nicobar Islands,68,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",%,11.3,,18.5,,-7.2
Andaman and Nicobar Islands,69,Children under 5 years who are stunted (height-for-age)12 (%),%,26.7,,22.5,,4.2
Andaman and Nicobar Islands,70,Children under 5 years who are wasted (weight-for-height)12 (%),%,11.1,,16.0,,-4.9
Andaman and Nicobar Islands,71,Children under 5 years who are severely wasted (weight-for-height)13 (%),%,3.8,,4.8,,-1.0
Andaman and Nicobar Islands,72,Children under 5 years who are underweight (weight-for-age)12 (%),%,19.3,,23.6,,-4.3
Andaman and Nicobar Islands,73,Children under 5 years who are overweight (weight-for-height)14 (%),%,7.2,,5.4,,1.8
Andaman and Nicobar Islands,74,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2)15 (%),%,3.1,,9.4,,-6.3
Andaman and Nicobar Islands,75,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2) (%),%,1.4,,4.0,,-2.6
Andaman and Nicobar Islands,76,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),%,44.5,,38.1,,6.4
Andaman and Nicobar Islands,77,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),%,46.1,,45.3,,0.8
Andaman and Nicobar Islands,78,Blood sugar level - high (141-160 mg/dl)16 (%),%,7.3,,7.4,,-0.1
Andaman and Nicobar Islands,79,Blood sugar level - very high (>160 mg/dl)16 (%),%,11.5,,8.1,,3.4
Andaman and Nicobar Islands,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,20.5,,17.5,,3.0
Andaman and Nicobar Islands,81,Blood sugar level - high (141-160 mg/dl)16 (%),%,9.6,,9.3,,0.3
Andaman and Nicobar Islands,82,Blood sugar level - very high (>160 mg/dl)16 (%),%,11.2,,7.3,,3.9
Andaman and Nicobar Islands,83,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,21.4,,17.9,,3.5
Andaman and Nicobar Islands,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),%,14.5,,15.3,,-0.8
Andaman and Nicobar Islands,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,6.9,,4.9,,2.0
Andaman and Nicobar Islands,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,24.1,,25.3,,-1.2
Andaman and Nicobar Islands,87,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,20.5,,20.6,,-0.1
Andaman and Nicobar Islands,88,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,7.0,,6.5,,0.5
Andaman and Nicobar Islands,89,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,31.2,,30.2,,1.0
Andaman and Nicobar Islands,90,Currently married women who usually participate in three household decisions 17 (%),%,94.8,,94.5,,0.3
Andaman and Nicobar Islands,91,Women who worked in the last 12 months and were paid in cash (%),%,25.0,,24.6,,0.4
Andaman and Nicobar Islands,92,Women having a bank or savings account that they themselves use (%),%,93.3,,89.2,,4.1
Andaman and Nicobar Islands,93,Women having a mobile phone that they themselves use (%),%,86.7,,80.8,,5.9
Andaman and Nicobar Islands,94,Women age 15-24 years who use hygienic methods of protection during their menstrual,,98.7,,98.8,,-0.1
Andaman and Nicobar Islands,95,Ever-married women age 18-49 years who have ever experienced spousal violence 19 (%),%,18.2,,17.2,,1.0
Andaman and Nicobar Islands,96,Ever-married women age 18-49 years who have experienced physical violence during any,,0.2,,0.3,,-0.1
Andaman and Nicobar Islands,97,Young women age 18-29 years who experienced sexual violence by age 18 (%),%,0.3,,1.2,,-0.9
Andaman and Nicobar Islands,98,Women age 15 years and above who use any kind of tobacco (%),%,26.6,,31.2,,-4.6
Andaman and Nicobar Islands,99,Men age 15 years and above who use any kind of tobacco (%),%,52.1,,58.7,,-6.6
Andaman and Nicobar Islands,100,Women age 15 years and above who consume alcohol (%),%,3.9,,5.0,,-1.1
Andaman and Nicobar Islands,101,Men age 15 years and above who consume alcohol (%),%,32.0,,38.8,,-6.8
Andhra Pradesh,1,Population below age 5 years (%),%,6.9,,6.7,,0.2
Andhra Pradesh,2,Population below age 15 years (%),%,21.1,,22.2,,-1.1
Andhra Pradesh,3,Population age 60 years and above (%),%,13.9,,13.2,,0.7
Andhra Pradesh,4,Population living in households with electricity (%),%,99.7,,99.5,,0.2
Andhra Pradesh,5,Population living in households with an improved drinking-water source1 (%),%,97.6,,96.7,,0.9
Andhra Pradesh,6,Households using iodized salt (%),%,97.3,,83.1,,14.2
Andhra Pradesh,7,Households with any usual member covered under a health insurance/financing scheme (%),%,91.9,,80.2,,11.7
Andhra Pradesh,8,Households with any usual member having a bank account/post office account (%),%,98.5,,95.8,,2.7
Andhra Pradesh,9,Female population age 6 years and above who ever attended school (%),%,69.1,,65.6,,3.5
Andhra Pradesh,10,Households with any usual female members owning a house and/or land (alone or jointly with,,31.9,,27.7,,4.2
Andhra Pradesh,11,Children age 2-4 years who attended pre-school (%),%,69.8,,75.4,,-5.6
Andhra Pradesh,12,Women with 10 or more years of schooling (%),%,48.4,,39.6,,8.8
Andhra Pradesh,13,Men with 10 or more years of schooling (%),%,59.5,,47.9,,11.6
Andhra Pradesh,14,Women who have ever used the internet (%),%,63.6,,21.0,,42.6
Andhra Pradesh,15,Men who have ever used the internet (%),%,83.7,,41.9,,41.8
Andhra Pradesh,16,Women age 20-24 years married before age 18 years (%),%,25.1,,29.3,,-4.2
Andhra Pradesh,17,Men age 25-29 years married before age 21 years (%),%,9.7,,14.5,,-4.8
Andhra Pradesh,18,Total fertility rate (children per woman),children per woman,1.8,,1.7,,0.1
Andhra Pradesh,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,9.2,,12.6,,-3.4
Andhra Pradesh,20,Any method2 (%),%,74.7,,71.1,,3.6
Andhra Pradesh,21,Any modern method2 (%),%,73.1,,70.8,,2.3
Andhra Pradesh,22,Any traditional method (%),%,1.6,,0.3,,1.3
Andhra Pradesh,23,Female sterilization (%),%,69.5,,69.6,,-0.1
Andhra Pradesh,24,Male sterilization (%),%,0.8,,0.4,,0.4
Andhra Pradesh,25,Total unmet need3 (%),%,4.4,,4.7,,-0.3
Andhra Pradesh,26,Unmet need for spacing3 (%),%,2.8,,2.7,,0.1
Andhra Pradesh,27,Unmet need for limiting3 (%),%,1.6,,2.0,,-0.4
Andhra Pradesh,28,Mothers who had an antenatal check-up in the first trimester (%),%,88.6,,81.7,,6.9
Andhra Pradesh,29,Mothers who had any antenatal care visits (%),%,99.7,,99.2,,0.5
Andhra Pradesh,30,Mothers who had at least 4 antenatal care visits (%),%,85.5,,67.5,,18.0
Andhra Pradesh,31,Mothers whose last birth was protected against neonatal tetanus4 (%),%,96.8,,92.8,,4.0
Andhra Pradesh,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,86.2,,70.3,,15.9
Andhra Pradesh,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,56.3,,41.1,,15.2
Andhra Pradesh,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),MCP,98.7,,96.5,,2.2
Andhra Pradesh,35,Institutional births (%),%,98.4,,96.5,,1.9
Andhra Pradesh,36,Institutional births in public facility (%),%,45.8,,50.4,,-4.6
Andhra Pradesh,37,Births attended by skilled health personnel5 (%),%,98.7,,96.1,,2.6
Andhra Pradesh,38,Births delivered by caesarean section (%),%,52.2,,42.4,,9.8
Andhra Pradesh,39,Births in a private health facility that were delivered by caesarean section (%),%,66.2,,63.0,,3.2
Andhra Pradesh,40,Births in a public health facility that were delivered by caesarean section (%),%,38.0,,26.6,,11.4
Andhra Pradesh,41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health,,97.4,,90.7,,6.7
Andhra Pradesh,42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),%,,Y,17.2,,
Andhra Pradesh,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health,,97.1,,92.3,,4.8
Andhra Pradesh,44,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall6 (%),%,87.7,,73.2,,14.5
Andhra Pradesh,45,Children age 12-23 months fully vaccinated based on information from vaccination card,,92.3,,88.0,,4.3
Andhra Pradesh,46,Children age 12-23 months who have received any vaccine (%),%,97.7,,95.0,,2.7
Andhra Pradesh,47,Children age 12-23 months who have received BCG (%),%,96.6,,94.6,,2.0
Andhra Pradesh,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),%,88.9,,75.0,,13.9
Andhra Pradesh,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,94.5,,88.5,,6.0
Andhra Pradesh,50,Children age 12-23 months who have received the first dose of measles-containing,,96.0,,87.1,,8.9
Andhra Pradesh,51,Children age 24-35 months who have received a second dose of measles-containing,,84.1,,57.5,,26.6
Andhra Pradesh,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,91.8,,79.5,,12.3
Andhra Pradesh,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,92.7,,75.5,,17.2
Andhra Pradesh,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,91.3,,80.3,,11.0
Andhra Pradesh,55,Children age 12-23 months who received most of their vaccinations in a public health,,94.2,,94.2,,0.0
Andhra Pradesh,56,Children age 12-23 months who received most of their vaccinations in a private health,,3.7,,4.3,,-0.6
Andhra Pradesh,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,4.8,,7.2,,-2.4
Andhra Pradesh,58,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),%,0.1,,0.7,,-0.6
Andhra Pradesh,59,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the,,1.0,,2.4,,-1.4
Andhra Pradesh,60,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health,,66.5,,70.2,,-3.7
Andhra Pradesh,61,Children under age 3 years breastfed within one hour of birth 9 (%),%,67.2,,52.0,,15.2
Andhra Pradesh,62,Children under age 6 months exclusively breastfed10 (%),%,69.5,,68.0,,1.5
Andhra Pradesh,63,Children under age 6 months currently breastfeeding 10 (%),%,96.5,,93.3,,3.2
Andhra Pradesh,64,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain,,87.0,,79.6,,7.4
Andhra Pradesh,65,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,72.0,,50.8,,21.2
Andhra Pradesh,66,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,17.0,,8.1,,8.9
Andhra Pradesh,67,"Non-breastfeeding children age 6-23 months receiving an adequate diet 10, 11 (%)",%,28.2,,11.4,,16.8
Andhra Pradesh,68,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",%,19.2,,9.0,,10.2
Andhra Pradesh,69,Children under 5 years who are stunted (height-for-age)12 (%),%,24.6,,31.2,,-6.6
Andhra Pradesh,70,Children under 5 years who are wasted (weight-for-height)12 (%),%,12.3,,16.1,,-3.8
Andhra Pradesh,71,Children under 5 years who are severely wasted (weight-for-height)13 (%),%,2.7,,6.0,,-3.3
Andhra Pradesh,72,Children under 5 years who are underweight (weight-for-age)12 (%),%,23.2,,29.6,,-6.4
Andhra Pradesh,73,Children under 5 years who are overweight (weight-for-height)14 (%),%,1.5,,2.7,,-1.2
Andhra Pradesh,74,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2)15 (%),%,10.8,,14.8,,-4.0
Andhra Pradesh,75,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),%,12.9,,16.5,,-3.6
Andhra Pradesh,76,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),%,47.9,,36.3,,11.6
Andhra Pradesh,77,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),%,41.5,,31.1,,10.4
Andhra Pradesh,78,Blood sugar level - high (141-160 mg/dl)16 (%),%,7.0,,7.3,,-0.3
Andhra Pradesh,79,Blood sugar level - very high (>160 mg/dl)16 (%),%,12.2,,10.4,,1.8
Andhra Pradesh,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,21.8,,19.5,,2.3
Andhra Pradesh,81,Blood sugar level - high (141-160 mg/dl)16 (%),%,7.5,,8.4,,-0.9
Andhra Pradesh,82,Blood sugar level - very high (>160 mg/dl)16 (%),%,13.9,,11.4,,2.5
Andhra Pradesh,83,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,24.1,,21.8,,2.3
Andhra Pradesh,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),%,10.0,,13.6,,-3.6
Andhra Pradesh,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,5.7,,5.9,,-0.2
Andhra Pradesh,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,24.1,,25.3,,-1.2
Andhra Pradesh,87,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,12.7,,17.6,,-4.9
Andhra Pradesh,88,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,3.4,,7.1,,-3.7
Andhra Pradesh,89,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,26.0,,29.0,,-3.0
Andhra Pradesh,90,Currently married women who usually participate in three household decisions 17 (%),%,84.0,,84.1,,-0.1
Andhra Pradesh,91,Women who worked in the last 12 months and were paid in cash (%),%,48.0,,42.1,,5.9
Andhra Pradesh,92,Women having a bank or savings account that they themselves use (%),%,92.3,,81.8,,10.5
Andhra Pradesh,93,Women having a mobile phone that they themselves use (%),%,64.1,,48.9,,15.2
Andhra Pradesh,94,Women age 15-24 years who use hygienic methods of protection during their menstrual,,94.3,,85.2,,9.1
Andhra Pradesh,95,Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),%,22.7,,29.9,,-7.2
Andhra Pradesh,96,Ever-married women age 18-49 years who have experienced physical violence during any,,1.9,,3.8,,-1.9
Andhra Pradesh,97,Young women age 18-29 years who experienced sexual violence by age 18 (%),%,0.0,,0.8,,-0.8
Andhra Pradesh,98,Women age 15 years and above who use any kind of tobacco (%),%,3.8,,3.9,,-0.1
Andhra Pradesh,99,Men age 15 years and above who use any kind of tobacco (%),%,18.8,,22.6,,-3.8
Andhra Pradesh,100,Women age 15 years and above who consume alcohol (%),%,0.6,,0.5,,0.1
Andhra Pradesh,101,Men age 15 years and above who consume alcohol (%),%,23.3,,23.1,,0.2
Arunachal Pradesh,1,Population below age 5 years (%),%,6.3,,8.2,,-1.9
Arunachal Pradesh,2,Population below age 15 years (%),%,21.8,,27.1,,-5.3
Arunachal Pradesh,3,Population age 60 years and above (%),%,10.2,,8.1,,2.1
Arunachal Pradesh,4,Population living in households with electricity (%),%,98.2,,94.8,,3.4
Arunachal Pradesh,5,Population living in households with an improved drinking-water source1 (%),%,97.1,,93.7,,3.4
Arunachal Pradesh,6,Households using iodized salt (%),%,98.7,,99.2,,-0.5
Arunachal Pradesh,7,Households with any usual member covered under a health insurance/financing scheme (%),%,51.8,,29.3,,22.5
Arunachal Pradesh,8,Households with any usual member having a bank account/post office account (%),%,96.1,,91.6,,4.5
Arunachal Pradesh,9,Female population age 6 years and above who ever attended school (%),%,68.6,,71.2,,-2.6
Arunachal Pradesh,10,Households with any usual female members owning a house and/or land (alone or jointly with,,14.8,,15.9,,-1.1
Arunachal Pradesh,11,Children age 2-4 years who attended pre-school (%),%,34.7,,24.6,,10.1
Arunachal Pradesh,12,Women with 10 or more years of schooling (%),%,50.4,,39.4,,11.0
Arunachal Pradesh,13,Men with 10 or more years of schooling (%),%,61.4,,48.2,,13.2
Arunachal Pradesh,14,Women who have ever used the internet (%),%,73.4,,52.9,,20.5
Arunachal Pradesh,15,Men who have ever used the internet (%),%,80.0,,71.6,,8.4
Arunachal Pradesh,16,Women age 20-24 years married before age 18 years (%),%,17.3,,18.9,,-1.6
Arunachal Pradesh,17,Men age 25-29 years married before age 21 years (%),%,11.4,,20.8,,-9.4
Arunachal Pradesh,18,Total fertility rate (children per woman),children per woman,1.5,,1.8,,-0.3
Arunachal Pradesh,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,5.6,,6.0,,-0.4
Arunachal Pradesh,20,Any method2 (%),%,65.3,,59.1,,6.2
Arunachal Pradesh,21,Any modern method2 (%),%,47.9,,47.1,,0.8
Arunachal Pradesh,22,Any traditional method (%),%,17.4,,12.0,,5.4
Arunachal Pradesh,23,Female sterilization (%),%,21.1,,18.2,,2.9
Arunachal Pradesh,24,Male sterilization (%),%,0.1,,0.0,,0.1
Arunachal Pradesh,25,Total unmet need3 (%),%,8.9,,12.4,,-3.5
Arunachal Pradesh,26,Unmet need for spacing3 (%),%,6.5,,7.0,,-0.5
Arunachal Pradesh,27,Unmet need for limiting3 (%),%,2.4,,5.4,,-3.0
Arunachal Pradesh,28,Mothers who had an antenatal check-up in the first trimester (%),%,57.6,,53.1,,4.5
Arunachal Pradesh,29,Mothers who had any antenatal care visits (%),%,84.4,,75.3,,9.1
Arunachal Pradesh,30,Mothers who had at least 4 antenatal care visits (%),%,46.0,,36.6,,9.4
Arunachal Pradesh,31,Mothers whose last birth was protected against neonatal tetanus4 (%),%,87.3,,76.9,,10.4
Arunachal Pradesh,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,31.3,,23.8,,7.5
Arunachal Pradesh,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,19.8,,8.6,,11.2
Arunachal Pradesh,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),MCP,97.2,,95.6,,1.6
Arunachal Pradesh,35,Institutional births (%),%,88.7,,79.2,,9.5
Arunachal Pradesh,36,Institutional births in public facility (%),%,83.0,,74.8,,8.2
Arunachal Pradesh,37,Births attended by skilled health personnel5 (%),%,88.1,,82.1,,6.0
Arunachal Pradesh,38,Births delivered by caesarean section (%),%,17.4,,14.8,,2.6
Arunachal Pradesh,39,Births in a private health facility that were delivered by caesarean section (%),%,62.1,,47.3,,14.8
Arunachal Pradesh,40,Births in a public health facility that were delivered by caesarean section (%),%,16.7,,17.0,,-0.3
Arunachal Pradesh,41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health,,61.5,,56.4,,5.1
Arunachal Pradesh,42,Children born at home who were taken to a health facility for a check-up within 24 hours of,,2.5,,2.3,,0.2
Arunachal Pradesh,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health,,64.3,,56.5,,7.8
Arunachal Pradesh,44,Children age 12-23 months fully vaccinated based on information from either vaccination card,,75.9,,64.9,,11.0
Arunachal Pradesh,45,Children age 12-23 months fully vaccinated based on information from vaccination card,,89.1,,76.4,,12.7
Arunachal Pradesh,46,Children age 12-23 months who have received any vaccine (%),%,90.8,,90.6,,0.2
Arunachal Pradesh,47,Children age 12-23 months who have received BCG (%),%,89.3,,87.9,,1.4
Arunachal Pradesh,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),%,78.6,,69.0,,9.6
Arunachal Pradesh,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,82.0,,77.6,,4.4
Arunachal Pradesh,50,Children age 12-23 months who have received the first dose of measles-containing,,83.8,,80.7,,3.1
Arunachal Pradesh,51,Children age 24-35 months who have received a second dose of measles-containing,,65.7,,51.9,,13.8
Arunachal Pradesh,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,74.7,,65.1,,9.6
Arunachal Pradesh,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,79.3,,32.0,,47.3
Arunachal Pradesh,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,74.9,,69.7,,5.2
Arunachal Pradesh,55,Children age 12-23 months who received most of their vaccinations in a public health,,97.2,,97.6,,-0.4
Arunachal Pradesh,56,Children age 12-23 months who received most of their vaccinations in a private health,,1.4,,0.7,,0.7
Arunachal Pradesh,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,3.8,,5.1,,-1.3
Arunachal Pradesh,58,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),%,0.4,,1.0,,-0.6
Arunachal Pradesh,59,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the,,0.5,,2.1,,-1.6
